Item ID,Item Name,SKU,UPC,MPN,EAN,ISBN,Is Returnable Item,Brand,Manufacturer,Description,Rate,Account,Account Code,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Product Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Warehouse Name,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory,CF.For Customer,CF.Estimated Production Date,CF.Lot Number,CF.PO Number,CF.Back Ordered,CF.Backend,CF.Reason To Withhold
2592134000010967979,LCTL (NM_207338) Human Over-expression Lysate,LS197021,,,,,false,,,LCTL Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY403965, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010967988,UBR1 (NM_174916) Human Over-expression Lysate,LS197131,,,,,false,,,UBR1 Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY406398, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010967997,PATL2 (NM_001145112) Human Over-expression Lysate,LS197135,,,,,false,,,PATL2 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY428698, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968006,LDHD (NM_194436) Human Over-expression Lysate,LS197257,,,,,false,,,LDHD Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY405129, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968015,ACSF3 (NM_001127214) Human Over-expression Lysate,LS197322,,,,,false,,,ACSF3 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY426715, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968024,WDR90 (NM_145294) Human Over-expression Lysate,LS197335,,,,,false,,,WDR90 Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY408015, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968033,EME2 (NM_001010865) Human Over-expression Lysate,LS197342,,,,,false,,,EME2 Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY423193, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968042,NLRC3 (NM_178844) Human Over-expression Lysate,LS197358,,,,,false,,,NLRC3 Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY405859, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968051,NSMCE1 (NM_145080) Human Over-expression Lysate,LS197370,,,,,false,,,NSMCE1 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY408050, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968060,DZIP1L (NM_173543) Human Over-expression Lysate,LS199221,,,,,false,,,DZIP1L Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY406335, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968069,TTC21A (NM_001105513) Human Over-expression Lysate,LS199223,,,,,false,,,TTC21A Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY426241, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968078,MCEMP1 (NM_174918) Human Over-expression Lysate,LS199675,,,,,false,,,MCEMP1 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY406400, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968087,DAND5 (NM_152654) Human Over-expression Lysate,LS199699,,,,,false,,,DAND5 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY407380, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968096,NLRP7 (NM_139176) Human Over-expression Lysate,LS199713,,,,,false,,,NLRP7 Human Over-expression Lysates,USD 960.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 532.80,Cost of Goods Sold,,"Origene LY408379, Cost: 532.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968105,Cell adhesion molecule 4 (CADM4) (NM_145296) Human Over-expression Lysate,LS199731,,,,,false,,,Cell adhesion molecule 4 (CADM4) Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY403428, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968114,THAP8 (NM_152658) Human Over-expression Lysate,LS199745,,,,,false,,,THAP8 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY407383, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968123,U2AF1L3 (U2AF1L4) (NM_001040425) Human Over-expression Lysate,LS199746,,,,,false,,,U2AF1L3 (U2AF1L4) Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY421747, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968132,ADM5 (NM_001101340) Human Over-expression Lysate,LS199800,,,,,false,,,ADM5 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY426140, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968141,LCE4A (NM_178356) Human Over-expression Lysate,LS199834,,,,,false,,,LCE4A Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY405979, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968150,ALG14 (NM_144988) Human Over-expression Lysate,LS199857,,,,,false,,,ALG14 Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY408127, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
2592134000010968159,FAM76A (NM_001143912) Human Over-expression Lysate,LS199870,,,,,false,,,FAM76A Human Over-expression Lysates,USD 628.00,Sales,,0,0,0,0,,,,goods,2,,,Active,100 ug,100 ug,USD 348.80,Cost of Goods Sold,,"Origene LY428401, Cost: 348.80.",Inventory Asset,,fifo,,Origene Inc,,,,0,Inventory,true,true,true,,,,,,,
